Station,gantry,Latitude,Longitude,Lane Count,Month,Estimated Monthly Consumption (kWh)
員林,03F-226.0N,23.937928,120.676853,3.0,5,2160.5
員林,03F-226.0N,23.937928,120.676853,3.0,6,2335.5
員林,03F-226.0N,23.937928,120.676853,3.0,7,2335.5
員林,03F-226.0N,23.937928,120.676853,3.0,8,2175.5
員林,03F-226.0N,23.937928,120.676853,3.0,9,2175.5
員林,03F-226.0N,23.937928,120.676853,3.0,10,2072.5
員林,03F-226.0N,23.937928,120.676853,3.0,11,2072.5
員林,03F-230.6SN,23.906781,120.702828,3.0,3,1655.0
員林,03F-230.6SN,23.906781,120.702828,3.0,4,1655.0
員林,03F-230.6SN,23.906781,120.702828,3.0,5,1631.5
員林,03F-230.6SN,23.906781,120.702828,3.0,6,1631.5
員林,03F-230.6SN,23.906781,120.702828,3.0,7,1714.5
員林,03F-230.6SN,23.906781,120.702828,3.0,8,1714.5
員林,03F-230.6SN,23.906781,120.702828,3.0,9,1643.0
員林,03F-230.6SN,23.906781,120.702828,3.0,10,1643.0
員林,03F-233.6SN,23.882031,120.709186,3.0,3,1699.0
員林,03F-233.6SN,23.882031,120.709186,3.0,4,1699.0
員林,03F-233.6SN,23.882031,120.709186,3.0,5,1585.5
員林,03F-233.6SN,23.882031,120.709186,3.0,6,1585.5
員林,03F-233.6SN,23.882031,120.709186,3.0,7,1726.5
員林,03F-233.6SN,23.882031,120.709186,3.0,8,1726.5
員林,03F-233.6SN,23.882031,120.709186,3.0,9,1679.5
員林,03F-233.6SN,23.882031,120.709186,3.0,10,1679.5
員林,03F-241.5SN,23.814836,120.700003,3.0,4,1612.0
員林,03F-241.5SN,23.814836,120.700003,3.0,5,1612.0
員林,03F-241.5SN,23.814836,120.700003,3.0,6,1687.0
員林,03F-241.5SN,23.814836,120.700003,3.0,7,1687.0
員林,03F-241.5SN,23.814836,120.700003,3.0,8,1628.0
員林,03F-241.5SN,23.814836,120.700003,3.0,9,1628.0
員林,03F-241.5SN,23.814836,120.700003,3.0,10,1557.5
