Station,gantry,Latitude,Longitude,Lane Count,Billing Month,Electricity Consumption (kWh),Billing Period (Start),Billing Period (End)
楊梅,01H-061.0S,24.96525,121.209867,2,12,2086,2024-10-16,2024-12-15
泰山,01H-057.9S,24.984094,121.232531,3,6,4511,2024-04-16,2024-06-16
泰山,01H-057.9S,24.984094,121.232531,3,8,4912,2024-06-17,2024-08-15
泰山,01H-057.9S,24.984094,121.232531,3,10,4920,2024-08-16,2024-10-16
泰山,01H-057.9S,24.984094,121.232531,3,12,4489,2024-10-17,2024-12-16
楊梅,01F-055.7SN,24.99858333,121.2477222,4,6,3791,2024-04-18,2024-06-18
楊梅,01F-055.7SN,24.99858333,121.2477222,4,8,4061,2024-06-19,2024-08-19
楊梅,01F-055.7SN,24.99858333,121.2477222,4,10,3977,2024-08-20,2024-10-20
楊梅,01F-055.7SN,24.99858333,121.2477222,4,12,3652,2024-10-21,2024-12-18
楊梅,01F-068.1SN,24.917967,121.167586,3,6,3881,2024-04-03,2024-06-04
楊梅,01F-068.1SN,24.917967,121.167586,3,8,4074,2024-06-05,2024-08-06
楊梅,01F-068.1SN,24.917967,121.167586,3,10,3825,2024-08-07,2024-10-06
楊梅,01F-068.1SN,24.917967,121.167586,3,12,3856,2024-10-07,2024-12-05
楊梅,01F-066.4SN,24.929544,121.176919,3,6,3551,2024-04-08,2024-06-05
楊梅,01F-066.4SN,24.929544,121.176919,3,8,3740,2024-06-06,2024-08-07
楊梅,01F-066.4SN,24.929544,121.176919,3,10,3610,2024-08-08,2024-10-07
楊梅,01F-066.4SN,24.929544,121.176919,3,12,3520,2024-10-08,2024-12-08
楊梅,01F-069.9SN,24.903297,121.159761,3,6,2902,2024-04-10,2024-06-10
楊梅,01F-069.9SN,24.903297,121.159761,3,8,3274,2024-06-11,2024-08-11
楊梅,01F-069.9SN,24.903297,121.159761,3,10,3074,2024-08-12,2024-10-10
楊梅,01F-069.9SN,24.903297,121.159761,3,12,3034,2024-10-11,2024-12-10
楊梅,楊梅作業室(交控機房),,,,7,1761,2024-04-29,2024-06-26
楊梅,楊梅作業室(交控機房),,,,9,2014,2024-06-27,2024-08-28
楊梅,楊梅作業室(交控機房),,,,11,1712,2024-08-29,2024-10-29
楊梅,楊梅作業室(交控機房),,,,1,1214,2024-10-30,2024-12-26
楊梅,01F-075.0SN,24.893436,121.111731,3,5,3585,2024-03-06,2024-05-07
楊梅,01F-075.0SN,24.893436,121.111731,3,7,3442,2024-05-08,2024-07-04
楊梅,01F-075.0SN,24.893436,121.111731,3,9,3858,2024-07-05,2024-09-05
楊梅,01F-075.0SN,24.893436,121.111731,3,11,3649,2024-09-06,2024-11-06
樹林,03F-064.8SN,24.878792,121.250839,3,5,3591,2024-03-14,2024-05-15
樹林,03F-064.8SN,24.878792,121.250839,3,7,3564,2024-05-16,2024-07-14
樹林,03F-064.8SN,24.878792,121.250839,3,9,1817,2024-07-15,2024-09-15
樹林,03F-064.8SN,24.878792,121.250839,3,11,40,2024-09-16,2024-11-14
楊梅,03F-069.8SN,24.856558,121.208581,3,7,3332,2024-04-25,2024-06-24
楊梅,03F-069.8SN,24.856558,121.208581,3,9,3408,2024-06-25,2024-08-26
楊梅,03F-069.8SN,24.856558,121.208581,3,11,3521,2024-08-27,2024-10-27
楊梅,03F-069.8SN,24.856558,121.208581,3,1,3210,2024-10-28,2024-12-24
楊梅,03F-074.6SN,24.816364,121.200339,3,7,4117,2024-04-29,2024-06-26
楊梅,03F-074.6SN,24.816364,121.200339,3,9,4378,2024-06-27,2024-08-28
楊梅,03F-074.6SN,24.816364,121.200339,3,11,4424,2024-08-29,2024-10-29
楊梅,03F-074.6SN,24.816364,121.200339,3,1,3560,2024-10-30,2024-12-26
楊梅,龍潭作業室,,,,5,2301,2024-03-28,2024-05-02
楊梅,龍潭作業室,,,,6,1725,2024-05-03,2024-05-28
楊梅,龍潭作業室,,,,7,2764,2024-05-29,2024-07-01
楊梅,龍潭作業室,,,,8,2965,2024-07-02,2024-08-01
楊梅,龍潭作業室,,,,9,3141,2024-08-02,2024-09-02
楊梅,龍潭作業室,,,,10,2599,2024-09-03,2024-10-01
